layer,design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows
1,dlzs_comp_k,float,40,0.9653974340543815,0.8,0.9822820694542871,1200,111240,0
1,dlzs_comp_k,float,45,0.9686875609212332,0.8292682926829268,0.9847812301838931,1200,111240,0
1,dlzs_comp_k,float,50,0.9715482468230986,0.8260869565217391,0.9863119834710751,1200,111240,0
1,dlzs_comp_k,quantized_exact,5,0.9284917967660276,0.4,0.9699999999999998,1200,111240,0
1,dlzs_comp_k,quantized_exact,10,0.9405070406535253,0.4444444444444444,0.9804347826086959,1200,111240,0
1,dlzs_comp_k,quantized_exact,15,0.9463735216319862,0.6666666666666666,0.977757182576459,1200,111240,0
1,dlzs_comp_k,quantized_exact,20,0.9503322849082008,0.7058823529411765,0.9746913580246908,1200,111240,0
1,dlzs_comp_k,quantized_exact,25,0.9539196380773952,0.7272727272727273,0.9731958762886588,1200,111240,0
1,dlzs_comp_k,quantized_exact,30,0.9580441096099515,0.7777777777777778,0.9752747252747256,1200,111240,0
1,dlzs_comp_k,quantized_exact,35,0.9618203381110453,0.7941176470588235,0.9785714285714291,1200,111240,0
1,dlzs_comp_k,quantized_exact,40,0.9653981971254018,0.8,0.9822820694542871,1200,111240,0
1,dlzs_comp_k,quantized_exact,45,0.9686855191682302,0.8292682926829268,0.9847812301838931,1200,111240,0
1,dlzs_comp_k,quantized_exact,50,0.9715476423982679,0.8260869565217391,0.9863119834710751,1200,111240,0
1,dlzs_comp_q,float,5,0.9459902520608499,0.4,0.9816091954022987,1200,111240,0
1,dlzs_comp_q,float,10,0.9529820438282726,0.5555555555555556,0.9845360824742271,1200,111240,0
1,dlzs_comp_q,float,15,0.95587319550993,0.6428571428571429,0.9821428571428573,1200,111240,1
1,dlzs_comp_q,float,20,0.9581530615740392,0.7222222222222222,0.9770436730123175,1200,111240,0
1,dlzs_comp_q,float,25,0.9606859401379033,0.7272727272727273,0.9760625305324873,1200,111240,0
1,dlzs_comp_q,float,30,0.9639596975719557,0.7692307692307693,0.9787654320987651,1200,111240,0
1,dlzs_comp_q,float,35,0.9670650890189125,0.7837837837837838,0.9806576402321079,1200,111240,0
1,dlzs_comp_q,float,40,0.9701117204754818,0.8235294117647058,0.9842589842589844,1200,111240,1
1,dlzs_comp_q,float,45,0.97296605058346,0.825,0.9866477272727273,1200,111240,0
1,dlzs_comp_q,float,50,0.9754014779475794,0.8444444444444444,0.9882352941176472,1200,111240,0
1,dlzs_comp_q,quantized_exact,5,0.9459965109264048,0.4,0.9816091954022987,1200,111240,0
1,dlzs_comp_q,quantized_exact,10,0.9529808039429433,0.5555555555555556,0.9845360824742271,1200,111240,0
1,dlzs_comp_q,quantized_exact,15,0.9558786357242028,0.6428571428571429,0.9821428571428573,1200,111240,1
1,dlzs_comp_q,quantized_exact,20,0.9581512685776339,0.7222222222222222,0.9770436730123175,1200,111240,0
1,dlzs_comp_q,quantized_exact,25,0.9606878408221269,0.7272727272727273,0.9760625305324873,1200,111240,0
1,dlzs_comp_q,quantized_exact,30,0.9639591113259424,0.7692307692307693,0.9787654320987651,1200,111240,0
1,dlzs_comp_q,quantized_exact,35,0.9670643390222076,0.7837837837837838,0.9806576402321079,1200,111240,0
1,dlzs_comp_q,quantized_exact,40,0.9701131087002471,0.8235294117647058,0.9842589842589844,1200,111240,1
1,dlzs_comp_q,quantized_exact,45,0.9729664421600425,0.825,0.9866477272727273,1200,111240,0
1,dlzs_comp_q,quantized_exact,50,0.9754025049673503,0.8444444444444444,0.9882352941176472,1200,111240,0
1,dlzs_snap_k,float,5,0.8678238136921762,0.2,0.9363636363636357,1200,111240,0
1,dlzs_snap_k,float,10,0.8927677257946888,0.4444444444444444,0.9539295392953924,1200,111240,0
1,dlzs_snap_k,float,15,0.9031206769549601,0.5,0.9586038961038966,1200,111240,0
1,dlzs_snap_k,float,20,0.9103799726883509,0.5789473684210527,0.9450686641697869,1200,111240,0
