sample,design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows
1,drum6,quantized_exact,35,0.9924074074074076,0.9333333333333333,0.9972549019607845,72,6120,0
1,drum6,quantized_exact,40,0.9928440984236828,0.9117647058823529,0.9961937716262974,72,6120,0
1,drum6,quantized_exact,45,0.9936148818501758,0.9487179487179487,0.9975867269984915,72,6120,0
1,drum6,quantized_exact,50,0.9939580483356134,0.9302325581395349,0.9975376196990426,72,6120,0
1,exact_int16,float,5,0.999967320261438,0.8,1.0,72,6120,0
1,exact_int16,float,10,0.9999273783587509,0.8888888888888888,1.0,72,6120,0
1,exact_int16,float,15,0.9999497234791352,0.9230769230769231,1.0,72,6120,0
1,exact_int16,float,20,0.9999711649365628,0.9411764705882353,1.0,72,6120,0
1,exact_int16,float,25,0.9999554367201426,0.9545454545454546,1.0,72,6120,0
1,exact_int16,float,30,0.9999811463046756,0.9615384615384616,1.0,72,6120,0
1,exact_int16,float,35,0.9999727668845316,0.9666666666666667,1.0,72,6120,0
1,exact_int16,float,40,0.999971164936563,0.9705882352941176,1.0,72,6120,0
1,exact_int16,float,45,0.9999790514496397,0.9743589743589743,1.0,72,6120,0
1,exact_int16,float,50,0.9999924000607996,0.9767441860465116,1.0,72,6120,0
1,exact_int16,quantized_exact,5,1.0,1.0,1.0,72,6120,0
1,exact_int16,quantized_exact,10,1.0,1.0,1.0,72,6120,0
1,exact_int16,quantized_exact,15,1.0,1.0,1.0,72,6120,0
1,exact_int16,quantized_exact,20,1.0,1.0,1.0,72,6120,0
1,exact_int16,quantized_exact,25,1.0,1.0,1.0,72,6120,0
1,exact_int16,quantized_exact,30,1.0,1.0,1.0,72,6120,0
1,exact_int16,quantized_exact,35,1.0,1.0,1.0,72,6120,0
1,exact_int16,quantized_exact,40,1.0,1.0,1.0,72,6120,0
1,exact_int16,quantized_exact,45,1.0,1.0,1.0,72,6120,0
1,exact_int16,quantized_exact,50,1.0,1.0,1.0,72,6120,0
1,mitchell,float,5,0.9793137254901959,0.6,0.9976470588235293,72,6120,0
1,mitchell,float,10,0.9829339143064632,0.7777777777777778,0.9973856209150326,72,6120,0
1,mitchell,float,15,0.9835847159376567,0.8461538461538461,0.9927601809954749,72,6120,0
1,mitchell,float,20,0.9847462514417528,0.8235294117647058,0.9958477508650518,72,6120,0
1,mitchell,float,25,0.9855243612596551,0.8636363636363636,0.9909090909090909,72,6120,0
1,mitchell,float,30,0.9865447461035698,0.8846153846153846,0.9927601809954751,72,6120,0
1,mitchell,float,35,0.9877559912854034,0.9,0.9949019607843138,72,6120,0
1,mitchell,float,40,0.9883794694348322,0.8823529411764706,0.9955017301038059,72,6120,0
1,mitchell,float,45,0.9898273839450309,0.9230769230769231,0.9951734539969834,72,6120,0
1,mitchell,float,50,0.9904620763033898,0.9302325581395349,0.9958960328317372,72,6120,0
1,mitchell,quantized_exact,5,0.9792810457516339,0.6,0.9976470588235293,72,6120,0
1,mitchell,quantized_exact,10,0.9829339143064632,0.7777777777777778,0.9973856209150326,72,6120,0
1,mitchell,quantized_exact,15,0.9835847159376567,0.8461538461538461,0.9927601809954749,72,6120,0
1,mitchell,quantized_exact,20,0.9847558631295651,0.8235294117647058,0.9958477508650518,72,6120,0
1,mitchell,quantized_exact,25,0.9855392156862742,0.8636363636363636,0.9909090909090909,72,6120,0
1,mitchell,quantized_exact,30,0.9865321769733535,0.8846153846153846,0.9927601809954751,72,6120,0
1,mitchell,quantized_exact,35,0.9877505446623096,0.9,0.9949019607843138,72,6120,0
1,mitchell,quantized_exact,40,0.9883938869665508,0.8823529411764706,0.9955017301038059,72,6120,0
1,mitchell,quantized_exact,45,0.9898190045248868,0.9230769230769231,0.9951734539969834,72,6120,0
1,mitchell,quantized_exact,50,0.9904620763033898,0.9302325581395349,0.9958960328317372,72,6120,0
2,dlzs_snap_k,float,5,0.8758522727272722,0.2,0.984090909090909,72,6336,0
2,dlzs_snap_k,float,10,0.892098063973063,0.5555555555555556,0.9595959595959592,72,6336,0
2,dlzs_snap_k,float,15,0.9017068001443005,0.5714285714285714,0.9415584415584423,72,6336,0
2,dlzs_snap_k,float,20,0.9066621071829396,0.5555555555555556,0.9406565656565647,72,6336,0
2,dlzs_snap_k,float,25,0.913015094123048,0.6363636363636364,0.9405991735537181,72,6336,0
2,dlzs_snap_k,float,30,0.9212495323606427,0.7037037037037037,0.9545454545454537,72,6336,0
2,dlzs_snap_k,float,35,0.9270426034538944,0.7096774193548387,0.9523460410557193,72,6336,0
2,dlzs_snap_k,float,40,0.9340102413019077,0.7222222222222222,0.95864898989899,72,6336,0
2,dlzs_snap_k,float,45,0.9387192234848486,0.75,0.9627840909090915,72,6336,0
2,dlzs_snap_k,float,50,0.9439099804866851,0.7727272727272727,0.9705578512396694,72,6336,0
2,dlzs_snap_k,quantized_exact,5,0.8758838383838378,0.2,0.984090909090909,72,6336,0
2,dlzs_snap_k,quantized_exact,10,0.892098063973063,0.5555555555555556,0.9595959595959592,72,6336,0
2,dlzs_snap_k,quantized_exact,15,0.9016955266955272,0.5714285714285714,0.9415584415584423,72,6336,0
2,dlzs_snap_k,quantized_exact,20,0.9066621071829396,0.5555555555555556,0.9406565656565647,72,6336,0
2,dlzs_snap_k,quantized_exact,25,0.9130222681359039,0.6363636363636364,0.9405991735537181,72,6336,0
2,dlzs_snap_k,quantized_exact,30,0.9212495323606424,0.7037037037037037,0.9545454545454537,72,6336,0
