design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows,min_text_overlap,max_text_overlap,texts
drum6,float,40,0.9929451725954386,0.9090909090909091,0.9934098639455777,100,667440,1,0.9090909090909091,0.9934098639455777,100
drum6,float,45,0.9935958953970123,0.918918918918919,0.9939762998038937,100,667440,2,0.918918918918919,0.9939762998038937,100
drum6,float,50,0.9941563956336514,0.92,0.9945449561403511,100,667440,1,0.92,0.9945449561403511,100
drum6,quantized_exact,5,0.987661639287834,0.6,0.9891598915989159,100,667440,0,0.6,0.9891598915989159,100
drum6,quantized_exact,10,0.989360261036125,0.6666666666666666,0.990445970314884,100,667440,1,0.6666666666666666,0.990445970314884,100
drum6,quantized_exact,15,0.9897481959908611,0.7857142857142857,0.9907783189033191,100,667440,0,0.7857142857142857,0.9907783189033191,100
drum6,quantized_exact,20,0.9902896193986784,0.8235294117647058,0.990986689814815,100,667440,1,0.8235294117647058,0.990986689814815,100
drum6,quantized_exact,25,0.9908581103576876,0.8571428571428571,0.9913502629848787,100,667440,2,0.8571428571428571,0.9913502629848787,100
drum6,quantized_exact,30,0.9916089622089314,0.88,0.992088832127146,100,667440,0,0.88,0.992088832127146,100
drum6,quantized_exact,35,0.9922788996269175,0.8666666666666667,0.9928270156764779,100,667440,1,0.8666666666666667,0.9928270156764779,100
drum6,quantized_exact,40,0.9929448971460221,0.9090909090909091,0.9934098639455777,100,667440,1,0.9090909090909091,0.9934098639455777,100
drum6,quantized_exact,45,0.9935971740608125,0.918918918918919,0.9939703209451383,100,667440,2,0.918918918918919,0.9939703209451383,100
drum6,quantized_exact,50,0.9941555938899742,0.92,0.9945419103313841,100,667440,1,0.92,0.9945419103313841,100
exact_int16,float,5,0.9999631644025083,0.8,1.0,100,667440,0,0.8,1.0,100
exact_int16,float,10,0.9999721668079101,0.8888888888888888,1.0,100,667440,0,0.8888888888888888,1.0,100
exact_int16,float,15,0.9999684270207433,0.9230769230769231,1.0,100,667440,0,0.9230769230769231,1.0,100
exact_int16,float,20,0.9999684512372556,0.9411764705882353,1.0,100,667440,0,0.9411764705882353,1.0,100
exact_int16,float,25,0.9999703801649907,0.9523809523809523,1.0,100,667440,0,0.9523809523809523,1.0,100
exact_int16,float,30,0.9999748062619973,0.96,1.0,100,667440,0,0.96,1.0,100
exact_int16,float,35,0.999974666782907,0.9655172413793104,0.9999944885361552,100,667440,0,0.9655172413793104,0.9999944885361552,100
exact_int16,float,40,0.9999760035229636,0.9696969696969697,0.9999956158810325,100,667440,0,0.9696969696969697,0.9999956158810325,100
exact_int16,float,45,0.9999782317457072,0.972972972972973,0.9999961937821625,100,667440,0,0.972972972972973,0.9999961937821625,100
exact_int16,float,50,0.999981487650559,0.975609756097561,1.0,100,667440,0,0.975609756097561,1.0,100
exact_int16,quantized_exact,5,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
exact_int16,quantized_exact,10,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
exact_int16,quantized_exact,15,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
exact_int16,quantized_exact,20,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
exact_int16,quantized_exact,25,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
exact_int16,quantized_exact,30,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
exact_int16,quantized_exact,35,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
exact_int16,quantized_exact,40,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
exact_int16,quantized_exact,45,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
exact_int16,quantized_exact,50,1.0,1.0,1.0,100,667440,0,1.0,1.0,100
mitchell,float,5,0.9794857418699032,0.4,0.9813256766381764,100,667440,0,0.4,0.9813256766381764,100
mitchell,float,10,0.9824957919992445,0.6666666666666666,0.9838313692480356,100,667440,0,0.6666666666666666,0.9838313692480356,100
mitchell,float,15,0.9832733831715427,0.6153846153846154,0.984594508301405,100,667440,0,0.6153846153846154,0.984594508301405,100
mitchell,float,20,0.984245741635776,0.7894736842105263,0.9853038437597255,100,667440,0,0.7894736842105263,0.9853038437597255,100
mitchell,float,25,0.9852813376295176,0.8333333333333334,0.9860389098928801,100,667440,0,0.8333333333333334,0.9860389098928801,100
mitchell,float,30,0.9864127190412039,0.8518518518518519,0.9870131729667817,100,667440,2,0.8518518518518519,0.9870131729667817,100
mitchell,float,35,0.9876039651579386,0.8709677419354839,0.9881232964566298,100,667440,1,0.8709677419354839,0.9881232964566298,100
mitchell,float,40,0.9886943657569408,0.8780487804878049,0.9892963435374145,100,667440,1,0.8780487804878049,0.9892963435374145,100
mitchell,float,45,0.98972122193457,0.8837209302325582,0.9902309303350975,100,667440,1,0.8837209302325582,0.9902309303350975,100
mitchell,float,50,0.9905955724143228,0.8958333333333334,0.9913272436857334,100,667440,1,0.8958333333333334,0.9913272436857334,100
mitchell,quantized_exact,5,0.9794832733193445,0.4,0.9813034188034186,100,667440,0,0.4,0.9813034188034186,100
mitchell,quantized_exact,10,0.9824960366255214,0.6666666666666666,0.983866442199775,100,667440,0,0.6666666666666666,0.983866442199775,100
mitchell,quantized_exact,15,0.9832730416828628,0.6153846153846154,0.9845831052727606,100,667440,0,0.6153846153846154,0.9845831052727606,100
mitchell,quantized_exact,20,0.984245702627824,0.7894736842105263,0.9853232959850603,100,667440,0,0.7894736842105263,0.9853232959850603,100
mitchell,quantized_exact,25,0.9852799501175953,0.8333333333333334,0.9860389098928801,100,667440,0,0.8333333333333334,0.9860389098928801,100
mitchell,quantized_exact,30,0.9864124368151499,0.8518518518518519,0.9870179457808326,100,667440,2,0.8518518518518519,0.9870179457808326,100
mitchell,quantized_exact,35,0.9876043452148552,0.8709677419354839,0.9881232964566298,100,667440,1,0.8709677419354839,0.9881232964566298,100
mitchell,quantized_exact,40,0.9886953359219771,0.8780487804878049,0.9892928004535144,100,667440,1,0.8780487804878049,0.9892928004535144,100
mitchell,quantized_exact,45,0.989720606240472,0.8837209302325582,0.9902281746031751,100,667440,1,0.8837209302325582,0.9902281746031751,100
mitchell,quantized_exact,50,0.9905954759019049,0.8958333333333334,0.9913222521713079,100,667440,1,0.8958333333333334,0.9913222521713079,100
